Name,S&P 500 COMPOSITE - OPENING PRICE,ISHARESCOREEUR (XET) STOXX50 UCITS ETF EUR - OPENING PRICE,SHANGHAI SE A SHARE - OPENING PRICE,ISHARES RUSSELL 2000 ETF - OPENING PRICE,INVESCO QQQ TRUST SERIES 1 - OPENING PRICE,ISHARES CORE FTSE 100 UCITS ETF GBP - OPENING PRICE,INVESCO MSCI JAPAN UCITS ETF ACC - OPENING PRICE,DOW JONES US REAL ESTATE - OPENING PRICE,SECT.SPDR TST.SBI INTER INDS. - OPENING PRICE
Code,S19658(PO),291561(PO),S08435(PO),292398(PO),696044(PO),291580(PO),67434J(PO),T25191(PO),689918(PO)
31/12/99,1465.94,N/A,N/A,N/A,92.625,N/A,N/A,N/A,29.281
3/1/2000,1471.21,N/A,N/A,N/A,96.187,N/A,N/A,N/A,29.484
4/1/2000,1449,N/A,1454.17,N/A,92,N/A,N/A,N/A,28.469
5/1/2000,1395.62,N/A,1496.06,N/A,87.5,N/A,N/A,N/A,28
6/1/2000,1398.87,N/A,1494.14,N/A,86.875,N/A,N/A,N/A,27.922
7/1/2000,1403.45,N/A,1570.12,N/A,82.937,N/A,N/A,N/A,28.625
10/1/2000,1441.47,N/A,1628.01,N/A,91,N/A,N/A,N/A,29.531
11/1/2000,1454.36,N/A,1645.28,N/A,91.75,N/A,N/A,N/A,29.469
12/1/2000,1438.56,N/A,1566.39,N/A,89,N/A,N/A,N/A,28.922
13/01/00,1436.02,N/A,1527.75,N/A,88.5,N/A,N/A,N/A,29.063
14/01/00,1449.68,N/A,1515.794,N/A,93,N/A,N/A,N/A,29.281
17/01/00,N/A,N/A,1497.42,N/A,N/A,N/A,N/A,N/A,N/A
18/01/00,1465.15,N/A,1527.336,N/A,92.062,N/A,N/A,N/A,28.781
19/01/00,1451.99,N/A,1515.537,N/A,93.492,N/A,N/A,N/A,29
20/01/00,1455.9,N/A,1533.758,N/A,95.5,N/A,N/A,N/A,29
21/01/00,1448.87,N/A,1564.58,N/A,96.5,N/A,N/A,N/A,28.656
24/01/00,1444.36,N/A,1558.145,N/A,97.437,N/A,N/A,N/A,28.516
25/01/00,1402.87,N/A,1576.742,N/A,91.875,N/A,N/A,N/A,27.156
26/01/00,1407.12,N/A,1570.57,N/A,93.25,N/A,N/A,N/A,27.266
27/01/00,1404.09,N/A,1584.51,N/A,91.75,N/A,N/A,N/A,27.641
28/01/00,1397.73,N/A,1609.934,N/A,90,N/A,N/A,N/A,27.625
31/01/00,1359.73,N/A,N/A,N/A,85.875,N/A,N/A,N/A,26.859
1/2/2000,1395.05,N/A,N/A,N/A,89.531,N/A,N/A,N/A,27.156
2/2/2000,1408.74,N/A,N/A,N/A,92.25,N/A,N/A,N/A,27.234
3/2/2000,1413.53,N/A,N/A,N/A,94.312,N/A,N/A,N/A,27.125
4/2/2000,1427.49,N/A,N/A,N/A,97,N/A,N/A,N/A,27.297
7/2/2000,1426.02,N/A,N/A,N/A,97.25,N/A,N/A,N/A,26.938
8/2/2000,1424.24,N/A,N/A,N/A,99.375,N/A,N/A,N/A,27.094
9/2/2000,1444.38,N/A,N/A,N/A,102.062,N/A,N/A,N/A,26.734
10/2/2000,1413.71,N/A,N/A,N/A,99.812,N/A,N/A,N/A,26.313
11/2/2000,1415.16,N/A,N/A,N/A,102.062,N/A,N/A,N/A,26.063
14/02/00,1390.07,N/A,1692.073,N/A,99.992,N/A,N/A,121.42,25.5
15/02/00,1389.78,N/A,1817.552,N/A,98.937,N/A,N/A,121.9,25.922
16/02/00,1401.97,N/A,1781.333,N/A,99.906,N/A,N/A,122.21,26.422
17/02/00,1387.67,N/A,1845.195,N/A,101.187,N/A,N/A,122,26.375
18/02/00,1388.26,N/A,1727.466,N/A,102.625,N/A,N/A,122.89,26.484
21/02/00,N/A,N/A,1788.752,N/A,N/A,N/A,N/A,N/A,N/A
22/02/00,1347.02,N/A,1788.921,N/A,99,N/A,N/A,123.76,26.25
23/02/00,1352.84,N/A,1721.476,N/A,99.68,N/A,N/A,122.88,26.391
24/02/00,1361.79,N/A,1695.879,N/A,104.875,N/A,N/A,122.88,26
25/02/00,1353.6,N/A,1745.019,N/A,106.187,N/A,N/A,122.83,25.719
28/02/00,1331.57,N/A,1745.066,N/A,103.25,N/A,N/A,122.49,25.422
29/02/00,1348.05,N/A,1839.755,N/A,105.75,N/A,N/A,122.01,25.625
1/3/2000,1366.83,N/A,1831.528,N/A,107.25,N/A,N/A,122.01,25.703
2/3/2000,1380.65,N/A,1806.859,N/A,108.062,N/A,N/A,122.92,25.781
3/3/2000,1386.77,N/A,1839.984,N/A,108,N/A,N/A,122.9,26.031
6/3/2000,1409.4,N/A,1870.154,N/A,111.75,N/A,N/A,123.37,26.25
